Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Lesotho,Sub-Saharan Africa,97,4.898,9.438,3.7545,10.4103,0.7612,3.1767,1.2504,1.6388,2.79832
Dominican Republic,Latin America and Caribbean,98,4.885,7.446,8.9537,11.7202,6.6825,5.7672,1.4234,2.1684,1.21305
Laos,Southeastern Asia,99,4.876,6.698,5.9066,7.3803,5.4909,5.9591,2.4249,4.2192,1.73799
Mongolia,Eastern Asia,100,4.874,3.313,8.2819,13.006,6.0268,4.3626,0.2666,3.323,1.34759
Swaziland,Sub-Saharan Africa,101,4.867,8.742,7.1206,10.7284,0.7566,3.0658,0.306,1.8259,2.48676
Greece,Western Europe,102,4.857,5.062,11.5406,9.2933,8.8213,0.7699,0.1397,0,1.80101
Lebanon,Middle East and Northern Africa,103,4.839,4.337,10.2564,8.0001,8.3947,3.3916,0.4582,2.1854,1.57059
Hungary,Central and Eastern Europe,104,4.8,6.107,11.2094,12.0215,7.5905,3.2112,0.2758,1.28,1.24074
Honduras,Latin America and Caribbean,105,4.788,5.648,5.9532,9.5348,6.951,4.0148,0.6825,2.3027,1.84408
Tajikistan,Central and Eastern Europe,106,4.786,3.198,3.9047,8.5563,5.7379,4.7216,1.5072,2.2974,2.11399
Tunisia,Middle East and Northern Africa,107,4.739,3.589,8.8113,6.0429,7.3793,2.6268,0.6358,0.6431,2.12466
Palestinian Territories,Middle East and Northern Africa,108,4.715,4.394,5.9867,9.2558,6.6015,2.4499,1.2905,1.1251,2.04384
Bangladesh,Southern Asia,109,4.694,3.077,3.9753,4.3106,6.0164,4.082,1.2569,2.1222,2.51767
Iran,Middle East and Northern Africa,110,4.686,4.449,10.088,5.4447,6.9805,3.0033,0.5863,3.8086,1.6944
Ukraine,Central and Eastern Europe,111,4.681,4.412,7.9907,12.0278,6.739,2.5123,0.2961,1.5275,1.5714
Iraq,Middle East and Northern Africa,112,4.677,5.232,9.8549,8.1889,6.0237,0,1.3788,1.7922,1.95335
South Africa,Sub-Saharan Africa,113,4.642,4.585,9.2049,11.8468,2.7688,3.3207,0.8884,1.1973,1.71956
Ghana,Sub-Saharan Africa,114,4.633,4.742,5.4558,6.7954,4.0132,4.2342,0.4355,2.3087,2.30919
Zimbabwe,Sub-Saharan Africa,115,4.61,4.29,2.71,10.3276,3.3475,2.5861,0.8079,1.8987,2.44191
Liberia,Sub-Saharan Africa,116,4.571,11.068,0.712,7.8968,3.4201,2.8531,0.6232,2.4362,2.77729
India,Southern Asia,117,4.565,2.043,6.4499,3.8174,5.1529,3.9786,0.8492,2.6475,2.27513
Sudan,Sub-Saharan Africa,118,4.55,6.74,5.2107,10.1404,3.6878,1.0081,1.466,1.9062,2.20857
Haiti,Latin America and Caribbean,119,4.518,7.331,2.6673,7.4302,3.8847,2.4425,1.7175,4.6187,2.24173
Congo (Kinshasa),Sub-Saharan Africa,120,4.517,3.68,0,10.012,0.9806,2.2605,0.7625,2.4834,2.86712
Nepal,Southern Asia,121,4.514,3.607,3.5997,8.6449,5.6874,3.8282,0.5907,3.2296,1.95637
Ethiopia,Sub-Saharan Africa,122,4.512,3.78,1.9073,6.0406,4.4055,4.345,1.5048,2.4325,2.44876
Sierra Leone,Sub-Saharan Africa,123,4.507,7.068,3.3024,9.5571,0,4.084,0.8786,2.1488,2.51009
Mauritania,Sub-Saharan Africa,124,4.436,3.947,4.5407,8.6908,3.5874,2.4232,1.7461,2.19,2.11773
Kenya,Sub-Saharan Africa,125,4.419,4.734,3.6471,9.9876,4.1435,4.2215,0.5839,3.7542,1.78555
Djibouti,Sub-Saharan Africa,126,4.369,8.096,4.4025,5.9207,3.6291,4.6074,2.8105,1.8093,2.05125
Armenia,Central and Eastern Europe,127,4.35,4.763,7.6821,7.7711,7.299,1.9847,0.39,0.7855,1.75873
Botswana,Sub-Saharan Africa,128,4.332,4.934,9.9355,11.0464,0.4776,4.9495,1.2474,1.0461,1.46181
Myanmar,Southeastern Asia,129,4.307,4.351,2.7108,7.0905,4.8246,4.4017,1.9034,7.9588,1.41805
Georgia,Central and Eastern Europe,130,4.297,4.221,7.419,3.8562,7.2926,4.0577,3.8331,0.5547,1.59541
Malawi,Sub-Saharan Africa,131,4.292,6.13,0.1604,4.1134,2.2562,4.3054,0.6977,3.3128,2.80791
Sri Lanka,Southern Asia,132,4.271,3.751,8.3524,10.1905,7.0806,5.3726,0.9179,4.0828,0.67108
Cameroon,Sub-Saharan Africa,133,4.252,4.678,4.225,8.8767,2.3402,4.9309,0.5786,2.0618,1.95071
Bulgaria,Central and Eastern Europe,134,4.218,4.828,10.1216,11.0614,7.6649,3.0587,0.0872,1.1921,0.89991
Egypt,Middle East and Northern Africa,135,4.194,3.26,8.818,7.47,6.1712,1.7288,0.6324,1.1291,1.59927
Yemen,Middle East and Northern Africa,136,4.077,4.367,5.4649,6.8093,4.0064,3.5571,0.7854,0.9131,1.92313
Angola,Sub-Saharan Africa,137,4.033,4.758,7.5778,8.604,1.6683,1.0384,0.7122,1.2344,1.94939
Mali,Sub-Saharan Africa,138,3.995,5.602,2.6074,10.3526,2.0583,3.8857,1.2352,1.8798,1.79293
Congo (Brazzaville),Sub-Saharan Africa,139,3.989,6.682,6.7866,6.629,3.1051,4.1466,1.1686,1.2388,1.68135
Comoros,Sub-Saharan Africa,140,3.956,4.797,2.3906,7.9273,3.6315,2.2917,1.99,1.7441,1.95812
Uganda,Sub-Saharan Africa,141,3.931,4.317,2.1102,11.3299,3.3861,4.5727,0.7267,2.9066,1.42766
Senegal,Sub-Saharan Africa,142,3.904,3.608,3.6498,9.7619,4.354,3.6772,1.0713,2.0843,1.44395
Gabon,Sub-Saharan Africa,143,3.896,4.547,10.6024,9.0528,4.3372,3.1914,1.1091,0.6822,0.99895
Niger,Sub-Saharan Africa,144,3.845,3.602,0.694,7.7265,2.9707,4.7692,1.5639,1.9387,1.87877
Cambodia,Southeastern Asia,145,3.819,5.069,4.6038,6.2736,6.1114,6.6246,0.7247,4.0359,0.98195
Tanzania,Sub-Saharan Africa,146,3.781,5.061,2.852,10.0268,3.8215,3.2878,0.5747,3.4377,1.38079
Madagascar,Sub-Saharan Africa,147,3.681,3.633,2.0824,6.6801,4.6721,1.9184,0.8124,2.1333,1.851
Central African Republic,Sub-Saharan Africa,148,3.678,6.112,0.785,0,0.6699,4.8879,0.8289,2.3835,2.7223
Chad,Sub-Saharan Africa,149,3.667,3.83,3.4193,7.6062,1.501,2.3501,0.5269,1.8386,1.94296
Guinea,Sub-Saharan Africa,150,3.656,3.59,1.7417,4.6475,2.4009,3.7725,1.2139,2.8657,1.99172
Ivory Coast,Sub-Saharan Africa,151,3.655,5.141,4.6534,7.7115,1.5185,4.6866,1.7922,2.0165,1.41723
Burkina Faso,Sub-Saharan Africa,152,3.587,4.324,2.5812,8.5188,2.7125,3.9493,1.2832,2.1747,1.46494
Afghanistan,Southern Asia,153,3.575,3.084,3.1982,3.0285,3.0335,2.3414,0.9719,3.651,1.9521
Rwanda,Sub-Saharan Africa,154,3.465,3.464,2.2208,7.737,4.2864,5.9201,5.5191,2.2628,0.67042
Benin,Sub-Saharan Africa,155,3.34,3.656,2.8665,3.5386,3.191,4.845,0.801,1.826,1.63328
Syria,Middle East and Northern Africa,156,3.006,5.015,6.632,4.7489,7.2193,1.5684,1.8906,4.7179,0.32858
Burundi,Sub-Saharan Africa,157,2.905,8.658,0.153,4.1587,2.2396,1.185,1.0062,1.9727,1.83302
Togo,Sub-Saharan Africa,158,2.839,6.727,2.0868,1.3995,2.8443,3.6453,1.0731,1.6681,1.56726
